Rank,Time,Name,Country,Date of Birth,Place,City,Date,Gender,Event
1959,2:07:48,Ibrahim Chakir,ESP,04.09.1994,10,Sevilla,18.02.2024,Men,Marathon
1959,2:07:48,Akira Akasaki,JPN,21.01.1998,17,Tokyo,02.03.2025,Men,Marathon
1959,2:07:48,Shoma Hosoya,JPN,13.02.2000,13,Osaka,24.02.2025,Men,Marathon
1959,2:07:48,Amedework Walelegn,ETH,11.03.1999,15,Amsterdam,17.10.2021,Men,Marathon
1959,2:07:48,Hiribo Shano,ETH,12.02.1999,2,Košice,03.10.2021,Men,Marathon
1959,2:07:48,Albert Kangogo,KEN,16.08.1987,11,Valencia,01.12.2019,Men,Marathon
1959,2:07:48,Abera Kuma,ETH,31.08.1990,10,Amsterdam,16.10.2016,Men,Marathon
1959,2:07:48,Joel Kemboi Kimurer,KEN,21.01.1988,1,Gongju,13.10.2013,Men,Marathon
1959,2:07:48,Tariku Kinfu,ETH,01.01.1996,2,Sevilla,19.02.2017,Men,Marathon
1959,2:07:48,Arata Fujiwara,JPN,12.09.1981,2,Tokyo,26.02.2012,Men,Marathon
1959,2:07:48,Bazu Worku Hayla,ETH,15.09.1990,13,Dubai,27.01.2012,Men,Marathon
1959,2:07:48,Tsegaye Kebede,ETH,15.01.1987,5,London,17.04.2011,Men,Marathon
1959,2:07:48,Emmanuel Mutai,KEN,12.10.1984,2,Olympiastadion,22.08.2009,Men,Marathon
1959,2:07:48,Patrick Mutuku Ivuti,KEN,30.07.1978,1,Praha,10.05.2009,Men,Marathon
1959,2:07:48,Charles Waweru Kamathi,KEN,18.05.1978,3,Berlin,28.09.2008,Men,Marathon
1959,2:07:48,Wilfred Kibet Kigen,KEN,23.02.1975,2,Hamburg,27.04.2008,Men,Marathon
1959,2:07:48,Francisco Javier Cortés,ESP,26.10.1971,2,Hamburg,22.04.2001,Men,Marathon
1959,2:07:48,Dereje Debele,ETH,28.06.1986,1,Düsseldorf,28.04.2013,Men,Marathon
1969,2:25:38,Shalane Flanagan,USA,08.07.1981,1,Houston,14.01.2012,Women,Marathon
1969,2:25:38,Charlotte Purdue,GBR,10.06.1991,10,London,28.04.2019,Women,Marathon
1969,2:25:38,Laura Thweatt,USA,17.12.1988,6,London,23.04.2017,Women,Marathon
1969,2:25:38,Genet Getaneh,ETH,06.01.1986,3,Amsterdam,21.10.2012,Women,Marathon
1969,2:25:38,Albina Mayorova,RUS,16.05.1977,8,Olympic Stadium,05.08.2012,Women,Marathon
1969,2:25:38,Edna Ngeringwony Kiplagat,KEN,15.11.1979,1,Los Angeles,21.03.2010,Women,Marathon
1969,2:25:38,Gelete Burka,ETH,23.01.1986,3,Wien,12.09.2021,Women,Marathon
1969,2:25:38,Mizuho Nasukawa,JPN,22.11.1979,1,Tokyo,22.03.2009,Women,Marathon
1969,2:25:38,Lonah Chemtai Salpeter,ISR,12.12.1988,4,Hősök tere,26.08.2023,Women,Marathon
1969,2:25:38,Mare Dibaba,ETH,20.10.1989,3,Roma,21.03.2010,Women,Marathon
1969,2:25:38,Abersh Minsewo,ETH,22.02.2001,1,Enschede,12.04.2026,Women,Marathon
1977,2:07:49,Shaohui Yang,CHN,09.07.1992,3,Wuxi,19.03.2023,Men,Marathon
1977,2:07:49,Kazuya Nishiyama,JPN,05.11.1998,2,Hofu,07.12.2025,Men,Marathon
1977,2:07:49,Dejene Megersa,ETH,24.01.2005,20,Berlin,29.09.2024,Men,Marathon
1977,2:07:49,Masaki Sakuda,JPN,06.05.1996,13,Osaka,26.02.2023,Men,Marathon
1977,2:07:49,Leonard Langat,KEN,02.08.1996,4,Beijing,29.10.2023,Men,Marathon
1977,2:07:49,Daniele Meucci,ITA,07.10.1985,11,Sevilla,18.02.2024,Men,Marathon
1977,2:07:49,Yi-Yong Kim,KOR,20.09.1973,4,Rotterdam,18.04.1999,Men,Marathon
1977,2:07:49,Ian Syster,RSA,20.01.1976,1,Beijing,19.10.2003,Men,Marathon
1977,2:07:49,Jaouad Gharib,MAR,22.05.1972,2,London,17.04.2005,Men,Marathon
1977,2:07:49,Philemon Gitia Baaru,KEN,20.05.1981,2,Košice,07.10.2012,Men,Marathon
1977,2:07:49,Evans Kipkosgei Ruto,KEN,14.01.1984,3,Košice,07.10.2012,Men,Marathon
1977,2:07:49,Ernest Ngeno,KEN,20.05.1995,2,Gongju,16.10.2016,Men,Marathon
1977,2:07:49,Mustefa Kedir,ETH,11.09.1997,16,Amsterdam,17.10.2021,Men,Marathon
1977,2:07:49,Yitayal Atnafu Zerihun,ETH,20.01.1993,14,Sevilla,19.02.2023,Men,Marathon
1980,2:25:39,Tsegaye Melesech,ETH,01.01.1994,2,Lima,19.05.2024,Women,Marathon
1980,2:25:39,Magdalyne Masai,KEN,21.11.1993,5,Toronto,16.10.2022,Women,Marathon
1980,2:25:39,Chunxiu Zhou,CHN,15.11.1978,4,Olympiastadion,23.08.2009,Women,Marathon
1980,2:25:39,Helah Jelagat Kiprop,KEN,07.04.1985,7,London,23.04.2017,Women,Marathon
1980,2:25:39,Shitaye Eshete,BRN,21.05.1990,2,Saitama,09.12.2018,Women,Marathon
1980,2:25:39,Fatuma Sado,ETH,11.10.1991,1,Osaka,27.01.2019,Women,Marathon
1980,2:25:39,Emily Chepkemoi Arusio,KEN,01.04.1999,4,Košice,02.10.2022,Women,Marathon
1987,2:25:40,Yoshiko Fujinaga,JPN,15.08.1981,11,London,17.04.2011,Women,Marathon
1987,2:25:40,Amanda Vestri,USA,01.09.1999,9,New York,02.11.2025,Women,Marathon
1987,2:25:40,Yukiko Akaba,JPN,18.10.1979,2,Osaka,25.01.2009,Women,Marathon
1987,2:25:40,Esther Wanjiru Maina,KEN,27.03.1977,3,Osaka,31.01.1999,Women,Marathon
1987,2:25:40,Rosa Mota,POR,29.06.1958,1,Olympic Stadium,23.09.1988,Women,Marathon
1987,2:25:40,Dulce Félix,POR,23.10.1982,4,New York,06.11.2011,Women,Marathon
1987,2:25:40,Emma Bates,USA,08.07.1992,4,Chandler,20.12.2020,Women,Marathon
1991,2:07:50,Geoffrey Mutai,KEN,07.10.1981,1,Eindhoven,12.10.2008,Men,Marathon
1991,2:07:50,Jimmy Mwangangi Muindi,KEN,14.08.1973,1,Rotterdam,10.04.2005,Men,Marathon
1991,2:07:50,Stephen Kiprotich,UGA,27.02.1989,3,Tokyo,26.02.2012,Men,Marathon
1991,2:07:50,Elisha Rotich,KEN,12.04.1990,4,Daegu,01.04.2018,Men,Marathon
1991,2:07:50,Vincent Rono,KEN,10.11.1990,3,Eindhoven,14.10.2018,Men,Marathon
1991,2:07:50,Mark Kosgei Kiptoo,KEN,21.06.1976,6,Frankfurt,28.10.2018,Men,Marathon
1991,2:07:50,Yuta Shitara,JPN,18.12.1991,1,Gold Coast,07.07.2019,Men,Marathon
1991,2:07:50,Girmaw Amare,ISR,26.10.1987,2,Hula Lake Park,14.03.2021,Men,Marathon
1991,2:07:50,Alphonce Felix Simbu,TAN,14.02.1992,1,Abu Dhabi,26.11.2021,Men,Marathon
1991,2:07:50,Tatsuya Maruyama,JPN,29.07.1994,8,Berlin,25.09.2022,Men,Marathon
1991,2:07:50,Lemi Berhanu,ETH,13.09.1994,1,Mumbai,21.01.2024,Men,Marathon
1991,2:07:50,Denis Chirchir,KEN,15.01.1990,1,Košice,06.10.2024,Men,Marathon
1991,2:07:50,Erick Kiplagat Sang,KEN,15.09.2000,7,Amsterdam,20.10.2024,Men,Marathon
1991,2:07:50,Stanley Bett,KEN,13.12.1986,5,Abu Dhabi,14.12.2024,Men,Marathon
1991,2:07:50,Boniface Usisivu,KEN,05.09.1974,4,Berlin,29.09.2002,Men,Marathon
1991,2:07:50,Abebe Tilahun,ETH,17.11.1998,17,Sevilla,23.02.2025,Men,Marathon
1991,2:07:50,Lotory Woldegiorgis,ETH,09.01.1998,10,Sevilla,15.02.2026,Men,Marathon
1991,2:07:50,Toshinari Takaoka,JPN,24.09.1970,3,Chicago,10.10.2004,Men,Marathon
1994,2:25:41,Flomena Chepkiach,KEN,01.01.2001,1,Eindhoven,12.10.2025,Women,Marathon
1994,2:25:41,Angela Tanui,KEN,27.07.1992,3,Beijing,03.11.2024,Women,Marathon
1994,2:25:41,Meseret Belete,ETH,16.09.1999,7,Paris,03.04.2022,Women,Marathon
1994,2:25:41,Doyeon Kim,KOR,02.09.1993,5,Seoul,18.03.2018,Women,Marathon
1994,2:25:41,Rebeca Kangogo Chesir,KEN,04.12.1992,2,Ottawa,24.05.2015,Women,Marathon
1994,2:25:41,Meseret Hailu Debele,ETH,12.09.1990,1,Hamburg,26.04.2015,Women,Marathon
1994,2:25:41,Jessica Augusto,POR,08.11.1981,3,Letzigrund,16.08.2014,Women,Marathon
1994,2:25:41,Agnes Kiprop,KEN,14.01.1980,1,Praha,13.05.2012,Women,Marathon
1994,2:25:41,Isabellah Andersson,SWE,12.11.1980,10,Dubai,27.01.2012,Women,Marathon
1994,2:25:41,Mara Yamauchi,GBR,13.08.1973,6,London,22.04.2007,Women,Marathon
1994,2:25:41,Ingrid Kristiansen,NOR,21.03.1956,1,London,17.04.1988,Women,Marathon
2005,2:25:42,Adriana Fernández Miranda,MEX,04.04.1971,4,London,16.04.2000,Women,Marathon
2005,2:25:42,Melkam Gizaw,ETH,17.09.1990,1,Ljubljana,25.10.2015,Women,Marathon
2005,2:25:42,Zinash Mekonen,ETH,11.09.1996,4,Seoul,17.03.2019,Women,Marathon
2005,2:25:42,Workenesh Tola,ETH,06.06.1977,2,Seoul,16.03.2003,Women,Marathon
2005,2:25:42,Aberash Fayesa,ETH,01.01.1995,3,Roma,22.03.2026,Women,Marathon
2005,2:25:42,Fate Tola,GER,22.10.1987,2,Frankfurt,30.10.2016,Women,Marathon
2005,2:25:42,Nigsti Haftu,ETH,08.07.1999,13,Sevilla,18.02.2024,Women,Marathon
2005,2:25:42,Veronica Maina,KEN,08.08.1989,6,Shanghai,30.11.2025,Women,Marathon
2009,2:07:51,Robert De Castella,AUS,27.02.1957,1,Boston,21.04.1986,Men,Marathon
2009,2:07:51,Vincent Rousseau,BEL,29.07.1962,1,Rotterdam,17.04.1994,Men,Marathon
2009,2:07:51,Domingos Castro,POR,22.11.1963,1,Rotterdam,20.04.1997,Men,Marathon
2009,2:07:51,Jimmy Mwangangi Muindi,KEN,14.08.1973,3,Chicago,22.10.2006,Men,Marathon
2009,2:07:51,Gaddisa Tafa,ETH,11.09.1996,8,Dubai,01.02.2026,Men,Marathon
2009,2:07:51,Elija Kemboi,KEN,10.09.1984,4,Košice,07.10.2012,Men,Marathon
2009,2:07:51,Ghirmay Ghebreslassie,ERI,14.11.1995,1,New York,06.11.2016,Men,Marathon
2009,2:07:51,Abdi Fufa,ETH,27.09.1995,14,Dubai,24.01.2020,Men,Marathon
2009,2:07:51,Edwin Kosgei,KEN,17.09.1989,13,Siena,11.04.2021,Men,Marathon
2009,2:07:51,Shura Kitata,ETH,09.06.1996,6,London,03.10.2021,Men,Marathon
2009,2:07:51,Michael Mugo Githae,KEN,26.08.1994,1,Fukuoka,05.12.2021,Men,Marathon
2009,2:07:51,Jacob Sommer Simonsen,DEN,01.01.1995,21,Berlin,29.09.2024,Men,Marathon
2009,2:07:51,Bayelign Teshager,ETH,09.02.2000,1,Fukuoka,07.12.2025,Men,Marathon
2009,2:07:51,Jason Mbote,KEN,05.01.1977,6,Amsterdam,21.10.2007,Men,Marathon
2009,2:07:51,William Kiplagat,KEN,21.06.1972,4,Amsterdam,19.10.2003,Men,Marathon
2013,2:25:43,Chernet Misganaw,ETH,12.09.1995,3,Chongqing,02.03.2025,Women,Marathon
2013,2:25:43,Christelle Daunay,FRA,05.12.1974,3,Paris,05.04.2009,Women,Marathon
2013,2:25:43,Mari Ozaki,JPN,16.07.1975,7,London,25.04.2010,Women,Marathon
2013,2:25:43,Filomena Chepchirchir,KEN,01.12.1981,1,Seoul,17.03.2013,Women,Marathon
2013,2:25:43,Meseret Legese,ETH,26.08.1987,1,Wuhan,10.04.2016,Women,Marathon
2013,2:25:43,Sarah Sellers,USA,10.07.1991,2,Duluth,18.06.2022,Women,Marathon
2013,2:25:43,Aberash Demisse,ETH,11.09.1997,10,Frankfurt,27.10.2024,Women,Marathon
2013,2:25:43,Ruth Jebet,BRN,17.11.1996,2,Daegu,23.02.2025,Women,Marathon
2021,2:25:44,Kaede Kawamura,JPN,23.11.1997,5,Osaka,25.02.2024,Women,Marathon
2021,2:25:44,Tetyana Hladyr,UKR,17.04.1975,1,Roma,26.03.2006,Women,Marathon
2021,2:25:44,Marisa Barros,POR,25.02.1980,2,Osaka,31.01.2010,Women,Marathon
2021,2:25:44,Rita Jeptoo Sitienei,KEN,15.02.1981,5,Frankfurt,30.10.2011,Women,Marathon
2021,2:25:44,Lisa Christina Nemec,CRO,18.05.1984,1,Zürich,07.04.2013,Women,Marathon
2021,2:25:44,Edna Ngeringwony Kiplagat,KEN,15.11.1979,1,Luzhniki Stadion,10.08.2013,Women,Marathon
2021,2:25:44,Atsede Bayisa,ETH,16.04.1987,1,Saitama,15.11.2015,Women,Marathon
2021,2:25:44,Misato Horie,JPN,10.03.1987,2,Osaka,29.01.2017,Women,Marathon
2021,2:25:44,Ayantu Abera Demisse,ETH,12.09.1995,1,Daegu,02.04.2023,Women,Marathon
2021,2:25:44,Lydia Naliaka Simiyu,KEN,24.04.1996,1,Cape Town,17.10.2021,Women,Marathon
2024,2:07:52,Albert Kangogo,KEN,16.08.1987,3,Košice,03.10.2021,Men,Marathon
2024,2:07:52,Goitom Kifle,ERI,03.12.1993,10,Hamburg,27.04.2025,Men,Marathon
2024,2:07:52,Daniel Simiu Ebenyo,KEN,18.09.1995,13,Chicago,12.10.2025,Men,Marathon
2024,2:07:52,Giacomo Leone,ITA,10.04.1971,2,Otsu,04.03.2001,Men,Marathon
2024,2:07:52,Shigeru Aburaya,JPN,08.02.1977,3,Otsu,04.03.2001,Men,Marathon
2024,2:07:52,Tomoaki Kunichika,JPN,22.04.1973,1,Fukuoka,07.12.2003,Men,Marathon
2024,2:07:52,Paul Kiprop Kirui,KEN,05.02.1980,1,Amsterdam,19.10.2008,Men,Marathon
2024,2:07:52,Deriba Merga Ejigu,ETH,26.10.1980,1f1,Houston,18.01.2009,Men,Marathon
2024,2:07:52,Tekeste Kebede,ETH,14.08.1981,2,Fukuoka,06.12.2009,Men,Marathon
2024,2:07:52,Yemane Tsegay,ETH,08.04.1985,4,Berlin,26.09.2010,Men,Marathon
2024,2:07:52,Thomas Kiplagat,KEN,01.03.1987,3,Seoul,09.11.2014,Men,Marathon
2024,2:07:52,Abel Kirui,KEN,06.04.1982,7,Chicago,07.10.2018,Men,Marathon
2024,2:07:52,Wilson Kipsang Kiprotich,KEN,15.03.1982,5,London,24.04.2016,Men,Marathon
2024,2:07:52,Anthony Maritim,KEN,12.11.1986,2,Ljubljana,27.10.2019,Men,Marathon
2024,2:07:52,Yuhei Urano,JPN,01.11.1997,3,Osaka,27.02.2022,Men,Marathon
2024,2:07:52,Enock Onchari,KEN,16.01.1999,2,Enschede,24.04.2022,Men,Marathon
2024,2:07:52,Shumi Dechasa,BRN,28.05.1989,9,Autzen Complex,17.07.2022,Men,Marathon
2024,2:07:52,Tatsuya Maruyama,JPN,29.07.1994,6,Osaka,25.02.2024,Men,Marathon
2024,2:07:52,Ashenafi Moges,ETH,15.11.1994,8,Seoul,17.03.2024,Men,Marathon
2024,2:07:52,Andrew Rotich Kwemoi,UGA,01.09.2000,3,Milano,07.04.2024,Men,Marathon
2024,2:07:52,Tesfaye Deriba,ETH,11.09.1998,2,Hangzhou,03.11.2024,Men,Marathon
2024,2:07:52,Emmanuel Roudolff,FRA,30.07.1995,24,Valencia,01.12.2024,Men,Marathon
2024,2:07:52,Salah Eddine Boussaad,MAR,27.09.1990,1,Otsu,10.03.2019,Men,Marathon
2031,2:25:45,Matea Parlov Koštro,CRO,02.06.1992,1,Hannover,26.03.2023,Women,Marathon
2031,2:25:45,Catherine Cherotich,KEN,17.10.1994,3,Wien,06.04.2025,Women,Marathon
2031,2:25:45,Yuyu Xia,CHN,01.03.1998,5,Nagoya,10.03.2024,Women,Marathon
2031,2:25:45,Fantu Zewude,ETH,26.09.1996,1,Taiyuan,21.05.2023,Women,Marathon
2031,2:25:45,Letebrhan Haylay Gebreslasea,ETH,29.11.1990,2,Sydney,18.09.2022,Women,Marathon
2031,2:25:45,Susan Chepkemei,KEN,25.06.1975,1,Rotterdam,22.04.2001,Women,Marathon
2031,2:25:45,Hiwot Gebrekidan,ETH,11.05.1995,1,See Genezareth,06.01.2017,Women,Marathon
2031,2:25:45,Misikir Demisse,ETH,23.07.1986,2,Ottawa,26.05.2013,Women,Marathon
2031,2:25:45,Mulu Seboka,ETH,25.09.1984,11,Dubai,27.01.2012,Women,Marathon
2031,2:25:45,Yingjie Sun,CHN,19.01.1979,1,Tianjin,11.04.1998,Women,Marathon
2031,2:25:45,Worknesh Alemu,ETH,19.03.1990,1,Mumbai,20.01.2019,Women,Marathon
2042,2:25:46,Georgina Schwiening,GBR,15.12.1994,11,Frankfurt,27.10.2024,Women,Marathon
2042,2:25:46,Jessica Mcclain,USA,15.02.1992,4,Orlando,03.02.2024,Women,Marathon
2042,2:25:46,Yuka Suzuki,JPN,14.09.1999,6,Nagoya,12.03.2023,Women,Marathon
2042,2:25:46,Rodah Jepkorir Tanui,KEN,25.04.1991,1,Buenos Aires,22.09.2019,Women,Marathon
2042,2:25:46,Rei Ohara,JPN,10.08.1990,2,Osaka,27.01.2019,Women,Marathon
2042,2:25:46,Agnes Kiprop,KEN,14.01.1980,1,Hengshui,26.09.2015,Women,Marathon
2042,2:25:46,Hilde Kibet,NED,27.03.1981,2,Torino,18.11.2012,Women,Marathon
2042,2:25:46,Jeļena Prokopčuka,LAT,21.09.1976,4,Nagoya,10.03.2013,Women,Marathon
2042,2:25:46,Kimberley Smith,NZL,19.11.1981,5,New York,06.11.2011,Women,Marathon
2042,2:25:46,Masako Chiba,JPN,18.07.1976,1,Sapporo,28.08.2005,Women,Marathon
2042,2:25:46,Harumi Hiroyama-Suzuki,JPN,02.09.1968,8,Olympiastadion,14.08.2005,Women,Marathon
2042,2:25:46,Liyan Ma,CHN,06.09.1968,6,Tianjin,04.04.1993,Women,Marathon
2042,2:25:46,Tirfi Tsegaye,ETH,25.11.1984,1,Marrakech,26.01.2025,Women,Marathon
2042,2:25:46,Meselech Melkamu,ETH,19.04.1985,5,London,21.04.2013,Women,Marathon
2042,2:25:46,Soukaina Atanane,MAR,28.06.1994,3,Rabat,27.04.2025,Women,Marathon
2042,2:25:46,Miyuki Uehara,JPN,22.11.1995,9,Berlin,16.09.2018,Women,Marathon
2047,2:07:53,Shunsuke Nagata,JPN,07.10.1999,20,Osaka,22.02.2026,Men,Marathon
2047,2:07:53,Duncan Kibet,KEN,25.04.1978,1,Milano,23.11.2008,Men,Marathon
2047,2:07:53,Duncan Cheruiyot Koech,KEN,28.12.1981,3,Köln,14.10.2012,Men,Marathon
2047,2:07:53,Jacob Kibet Chulyo Kendagor,KEN,24.08.1984,5,Daegu,06.04.2014,Men,Marathon
2047,2:07:53,Joel Kemboi Kimurer,KEN,21.01.1988,2,Gongju,19.10.2014,Men,Marathon
2047,2:07:53,Joseph Mana Ndirangu,KEN,09.09.1994,1,Otsu,04.03.2018,Men,Marathon
2047,2:07:53,Shifera Tamru,ETH,01.10.1998,5,Chicago,09.10.2022,Men,Marathon
2047,2:07:53,Kento Kikutani,JPN,08.05.1994,5,Beppu,05.02.2023,Men,Marathon
2047,2:07:53,Eyob Ghebrehiwet Faniel,ITA,26.11.1992,14,Osaka,26.02.2023,Men,Marathon
2047,2:07:53,Timothy Kipkorir,KEN,03.10.1993,2,Milano,02.04.2023,Men,Marathon
2047,2:07:53,Fikre Bekele,ETH,11.09.1998,4,Seoul,05.11.2023,Men,Marathon
2047,2:07:53,Sammy Kitwara,KEN,26.11.1986,1,Marrakech,28.01.2024,Men,Marathon
2047,2:07:53,Josphat Boit,KEN,25.11.1995,1,Chongqing,24.03.2024,Men,Marathon
2047,2:07:53,Dinkalem Ayele,ETH,19.12.2000,4,Doha,17.01.2025,Men,Marathon
2047,2:07:53,Kento Kikutani,JPN,08.05.1994,14,Osaka,24.02.2025,Men,Marathon
2047,2:07:53,Thomas Kibet Maru,KEN,30.12.1993,1,Friedrichswall,12.04.2026,Men,Marathon
2047,2:07:53,David Kemboi Kiyeng,KEN,22.04.1983,1,Reims,19.10.2008,Men,Marathon
2047,2:07:53,Shadrack Kiplagat,KEN,09.12.1977,7,Amsterdam,21.10.2007,Men,Marathon
2047,2:07:53,Bernard Kiprop Kipyego,KEN,16.07.1986,3,Tokyo,24.02.2013,Men,Marathon
2047,2:07:53,Josphat Kiprono,KEN,12.12.1973,2,Rotterdam,13.04.2003,Men,Marathon
2058,2:25:47,Lauren Hagans,USA,27.06.1986,13,Chicago,13.10.2024,Women,Marathon
2058,2:25:47,Philippa Bowden,GBR,29.03.1995,15,Berlin,29.09.2024,Women,Marathon
2058,2:25:47,Eloise Wellings,AUS,09.11.1982,25,Valencia,03.12.2023,Women,Marathon
2058,2:25:47,Shitaye Bedaso,ETH,01.01.1988,6,Dubai,25.01.2013,Women,Marathon
2058,2:25:47,Julia Paternain,URU,29.09.1999,8,London,26.04.2026,Women,Marathon
2058,2:25:47,Tamir Agere,ETH,11.09.2000,2,Wuhan,22.03.2026,Women,Marathon
2064,2:25:48,Fabienne Königstein,GER,25.11.1992,8,Hamburg,23.04.2023,Women,Marathon
2064,2:25:48,Muluhabt Tsega,ETH,22.12.1997,5,Shanghai,18.11.2018,Women,Marathon
2064,2:25:48,Merima Mohammed,ETH,10.06.1992,3,Rotterdam,15.04.2012,Women,Marathon
2064,2:25:48,Rose Cheruiyot,KEN,21.07.1976,4,Dubai,18.01.2008,Women,Marathon
2064,2:25:48,Li Jin,CHN,29.05.1983,6,Beijing,14.10.2001,Women,Marathon
2064,2:25:48,Naoko Takahashi,JPN,06.05.1972,1,Nagoya,08.03.1998,Women,Marathon
2064,2:25:48,Manon Trapp,FRA,01.08.2000,26,Valencia,03.12.2023,Women,Marathon
2064,2:25:48,Jon Su Gyong,PRK,15.01.2004,1,Pyongyang,06.04.2025,Women,Marathon
2067,2:07:54,Essa Ismail Rashed,QAT,14.12.1986,4,Amsterdam,19.10.2014,Men,Marathon
2067,2:07:54,Laban Kipngetich Korir,KEN,30.06.1985,6,Paris,12.04.2015,Men,Marathon
2067,2:07:54,Tsegaye Kebede,ETH,15.01.1987,12,Valencia,01.12.2019,Men,Marathon
2067,2:07:54,Eshetu Wendimu,ETH,03.10.1986,6,Paris,15.04.2012,Men,Marathon
2067,2:07:54,Atsumi Ashiwa,JPN,02.02.1995,15,Otsu,28.02.2021,Men,Marathon
2067,2:07:54,Benjamin Kiptoo,KEN,10.01.1979,1,Chuncheon,24.10.2010,Men,Marathon
2067,2:07:54,Joel Kemboi Kimurer,KEN,21.01.1988,5,Beijing,29.10.2023,Men,Marathon
2067,2:07:54,Moses Kimeli Arusei,KEN,01.01.1983,1,Seoul,14.03.2009,Men,Marathon
2067,2:07:54,Deressa Chimsa,ETH,21.11.1976,2f1,Dubai,16.01.2009,Men,Marathon
2067,2:07:54,Jaouad Gharib,MAR,22.05.1972,4,London,22.04.2007,Men,Marathon
2067,2:07:54,Gezahegn Abera,ETH,23.04.1978,1,Fukuoka,05.12.1999,Men,Marathon
2067,2:07:54,Nobert Kigen,KEN,24.01.1993,1,Praha,08.05.2022,Men,Marathon
2067,2:07:54,Negari Getachew Terfa,ETH,01.01.1983,2,Houston,19.01.2014,Men,Marathon
2067,2:07:54,Stephen Kipkoech Kibiwott,KEN,03.04.1980,2,Praha,10.05.2009,Men,Marathon
2067,2:07:54,Yihunilign Adane,ETH,29.02.1996,3,Lisboa,17.10.2021,Men,Marathon
2067,2:07:54,Valentin Gondouin,FRA,04.03.1999,17,Valencia,07.12.2025,Men,Marathon
2067,2:07:54,Fearghal Curtin,IRL,14.07.1998,1,Gyeongju,18.10.2025,Men,Marathon
2067,2:07:54,Alejandro Gomez,ESP,11.04.1967,2,Rotterdam,20.04.1997,Men,Marathon
2067,2:07:54,Godadaw Belachew,ISR,22.01.1997,3,Hula Lake Park,14.03.2021,Men,Marathon
2067,2:07:54,Dinkalem Ayele,ETH,19.12.2000,6,Paris,13.04.2025,Men,Marathon
2072,2:25:49,Hellen Obiri,KEN,13.12.1989,6,New York,06.11.2022,Women,Marathon
2072,2:25:49,Ashu Kasim,ETH,20.10.1984,4,Paris,05.04.2009,Women,Marathon
2072,2:25:49,Olena Shurhno,UKR,08.01.1978,7,Nagoya,11.03.2012,Women,Marathon
2072,2:25:49,Amane Gobena,ETH,01.09.1982,1,Mumbai,21.01.2018,Women,Marathon
2072,2:25:49,Agnes Jeruto Barsosio,KEN,05.08.1982,1,Düsseldorf,29.04.2012,Women,Marathon
2072,2:25:49,Etalemahu Kidane,ETH,14.02.1983,2,Hamburg,29.04.2012,Women,Marathon
2072,2:25:49,Ruth Chebitok,KEN,26.12.1990,1,Barcelona,11.03.2018,Women,Marathon
2079,2:25:50,Margaux Sieracki,FRA,17.06.1999,8,Amsterdam,19.10.2025,Women,Marathon
2079,2:25:50,Kebebush Yisma,ETH,31.10.1998,1,Taiyuan,21.09.2025,Women,Marathon
2079,2:25:50,Fadouwa Ledhem,FRA,28.09.1987,27,Valencia,03.12.2023,Women,Marathon
2079,2:25:50,Ashete Bekere,ETH,17.04.1988,7,Tokyo,28.02.2016,Women,Marathon
2079,2:25:50,Tigist Tufa,ETH,26.01.1987,3,New York,01.11.2015,Women,Marathon
2079,2:25:50,Asnaketch Mengistu,ETH,09.05.1986,1,Milano,11.04.2010,Women,Marathon
2079,2:25:50,Ryoko Kizaki,JPN,21.06.1985,2,Incheon,02.10.2014,Women,Marathon
2086,2:25:51,Emma Bates,USA,08.07.1992,13,Valencia,07.12.2025,Women,Marathon
2086,2:25:51,Gladys Chesir,KEN,20.02.1993,2,Xiamen,02.04.2023,Women,Marathon
2086,2:25:51,Misaki Nishida,JPN,07.08.1991,5,Osaka,26.02.2023,Women,Marathon
2086,2:25:51,Haimanot Alemayehu,ETH,17.06.1990,2,Sevilla,25.02.2018,Women,Marathon
2086,2:25:51,Yoko Shibui,JPN,14.03.1979,4,Tokyo,16.11.2008,Women,Marathon
2086,2:25:51,Ruti Aga,ETH,16.01.1994,3,New York,03.11.2019,Women,Marathon
2086,2:25:51,Yurika Nakamura,JPN,01.04.1986,1,Nagoya,09.03.2008,Women,Marathon
2086,2:25:51,Shalane Flanagan,USA,08.07.1981,9,Olympic Stadium,05.08.2012,Women,Marathon
2087,2:07:55,Alphonce Felix Simbu,TAN,14.02.1992,3,Daegu,07.04.2024,Men,Marathon
2087,2:07:55,Henok Tesfay,ERI,22.11.2000,4,Ljubljana,22.10.2023,Men,Marathon
2087,2:07:55,Daisuke Doi,JPN,06.11.1996,15,Osaka,26.02.2023,Men,Marathon
2087,2:07:55,Haimro Alame,ISR,08.06.1990,15,Sevilla,19.02.2023,Men,Marathon
2087,2:07:55,Shin Kimura,JPN,08.08.1988,6,Beppu,05.02.2023,Men,Marathon
2087,2:07:55,Alemayehu Ameta Belachew,ETH,26.10.1985,8,Seoul,17.04.2022,Men,Marathon
2087,2:07:55,Michael Mugo Githae,KEN,26.08.1994,10,Tokyo,06.03.2022,Men,Marathon
2087,2:07:55,Kento Kikutani,JPN,08.05.1994,9,Tokyo,06.03.2022,Men,Marathon
2087,2:07:55,Oqbe Kibrom Ruesom,ERI,01.01.1998,6,Doha,16.01.2026,Men,Marathon
2087,2:07:55,Tetsuya Yoroizaka,JPN,20.03.1990,2,Oita,06.02.2022,Men,Marathon
